person_index,person_name,website
Hanxiao Jiang*,Hanxiao Jiang,ME
Hanxiao Jiang,Hanxiao Jiang,ME
Denys Iliash,Denys Iliash,""
Yunzhu Li,Yunzhu Li,https://yunzhuli.github.io/
Shenlong Wang,Shenlong Wang,https://shenlong.web.illinois.edu/
Hooshang Nayyeri,Hooshang Nayyeri,https://www.amazon.science/author/hooshang-nayyeri
Shubham Garg,Shubham Garg,https://www.gargshubham.com/
Zhuoran Li,Zhuoran Li,https://sg.linkedin.com/in/zhuoran-li-david
Ruihai Wu,Ruihai Wu,https://warshallrho.github.io/
Binghao Huang,Binghao Huang,https://binghao-huang.github.io/
Yiming Zhang,Yiming Zhang,https://github.com/eamonn-zh
Sanjay Haresh,Sanjay Haresh,https://www.sanjayharesh.com/
Xiaohao Sun,Xiaohao Sun,https://sun-xh.github.io/
Xiaohao Sun*,Xiaohao Sun,https://sun-xh.github.io/
Angel X. Chang,Angel X. Chang,https://angelxuanchang.github.io/
Manolis Savva,Manolis Savva,https://msavva.github.io/
Yongsen Mao,Yongsen Mao,https://sammaoys.github.io/
Xianghao Xu,Xianghao Xu,https://xxh43.github.io/
David Charatan,David Charatan,http://davidcharatan.com/
Sonia Raychaudhuri,Sonia Raychaudhuri,https://ca.linkedin.com/in/sonia-raychaudhuri
Mae Heitmann,Mae Heitmann,https://www.linkedin.com/in/mae-heitmann-770287118
Vladimir Kim,Vladimir Kim,http://www.vovakim.com/
Siddhartha Chaudhuri,Siddhartha Chaudhuri,https://www.cse.iitb.ac.in/~sidch/
Daniel Ritchie,Daniel Ritchie,https://dritchie.github.io/
Fanbo Xiang,Fanbo Xiang,https://www.fbxiang.com/
Yuzhe Qin,Yuzhe Qin,https://yzqin.github.io/
Kaichun Mo,Kaichun Mo,https://cs.stanford.edu/~kaichun/
Yikuan Xia,Yikuan Xia,https://www.linkedin.com/in/yikuan-xia-4418a9170/
Hao Zhu,Hao Zhu,https://berniezhu.github.io/
Fangchen Liu,Fangchen Liu,https://fangchenliu.github.io/
Minghua Liu,Minghua Liu,http://cseweb.ucsd.edu/~mil070/
Yifu Yuan,Yifu Yuan,""
He Wang,He Wang,http://ai.stanford.edu/~hewang/
Li Yi,Li Yi,https://cs.stanford.edu/~ericyi/
Angel X. Chang,Angel X. Chang,https://angelxuanchang.github.io/
Leonidas J. Guibas,Leonidas J. Guibas,http://geometry.stanford.edu/member/guibas/
Hao Su,Hao Su,http://cseweb.ucsd.edu/~haosu/
Xiangpeng Hao,Xiangpeng Hao,https://www.haoxp.xyz/#/
Brian Funt,Brian Funt,https://www2.cs.sfu.ca/~funt/
Mukul Khanna*, Mukul Khanna, https://mukulkhanna.github.io/
Yongsen Mao*,Yongsen Mao,https://sammaoys.github.io/
Brennan Shacklett, Brennan Shacklett, https://cs.stanford.edu/~bps/
Dhruv Batra, Dhruv Batra, https://faculty.cc.gatech.edu/~dbatra/
Alexander Clegg, Alexander Clegg, https://www.linkedin.com/in/alexander-clegg-68336839/
Eric Undersander, Eric Undersander, https://www.linkedin.com/in/ericu/